filename,width,height,class,xmin,ymin,xmax,ymax
124.jpeg,64,32,Non-RightEyeFatigue,9,4,57,26
124.jpeg,64,32,LeftEyeFatigue,9,4,57,32
125.jpeg,64,64,MouthFatigue,1,4,64,43
125.jpeg,64,32,RightEyeFatigue,5,4,61,31
125.jpeg,64,32,Non-LeftEyeFatigue,4,5,60,29
125.jpeg,64,64,Non-MouthFatigue,1,4,63,42
125.jpeg,64,32,Non-RightEyeFatigue,9,4,54,25
125.jpeg,64,32,LeftEyeFatigue,6,8,60,32
126.jpeg,64,64,MouthFatigue,1,5,64,49
126.jpeg,64,32,RightEyeFatigue,8,6,55,32
126.jpeg,64,32,Non-LeftEyeFatigue,4,3,59,29
126.jpeg,64,64,Non-MouthFatigue,1,5,64,45
126.jpeg,64,32,Non-RightEyeFatigue,10,7,63,28
126.jpeg,64,32,LeftEyeFatigue,6,5,57,32
127.jpeg,64,64,MouthFatigue,1,5,64,47
127.jpeg,64,32,RightEyeFatigue,3,5,61,31
127.jpeg,64,32,Non-LeftEyeFatigue,4,6,58,29
127.jpeg,64,64,Non-MouthFatigue,1,5,63,43
127.jpeg,64,32,Non-RightEyeFatigue,8,4,59,25
127.jpeg,64,32,LeftEyeFatigue,8,10,56,32
128.jpeg,64,64,MouthFatigue,1,3,64,47
128.jpeg,64,32,RightEyeFatigue,3,5,59,32
128.jpeg,64,32,Non-LeftEyeFatigue,5,4,57,27
128.jpeg,64,64,Non-MouthFatigue,1,7,64,46
128.jpeg,64,32,Non-RightEyeFatigue,10,6,59,27
128.jpeg,64,32,LeftEyeFatigue,6,5,58,32
129.jpeg,64,64,MouthFatigue,1,3,64,45
129.jpeg,64,32,RightEyeFatigue,5,4,59,32
129.jpeg,64,32,Non-LeftEyeFatigue,3,6,58,26
129.jpeg,64,64,Non-MouthFatigue,1,7,63,47
129.jpeg,64,32,Non-RightEyeFatigue,7,4,56,25
129.jpeg,64,32,LeftEyeFatigue,6,8,56,32
13.jpeg,64,64,MouthFatigue,1,6,64,53
13.jpeg,64,32,RightEyeFatigue,7,8,58,32
13.jpeg,64,32,Non-LeftEyeFatigue,7,4,55,27
13.jpeg,64,64,Non-MouthFatigue,1,5,64,43
13.jpeg,64,32,Non-RightEyeFatigue,9,5,54,31
13.jpeg,64,32,LeftEyeFatigue,5,4,55,31
130.jpeg,64,64,MouthFatigue,1,1,64,56
130.jpeg,64,32,RightEyeFatigue,2,13,54,32
130.jpeg,64,32,Non-LeftEyeFatigue,3,5,56,28
130.jpeg,64,64,Non-MouthFatigue,1,2,64,45
130.jpeg,64,32,Non-RightEyeFatigue,10,5,57,29
130.jpeg,64,32,LeftEyeFatigue,13,12,60,32
131.jpeg,64,64,MouthFatigue,1,1,64,59
131.jpeg,64,32,RightEyeFatigue,4,8,60,32
131.jpeg,64,32,Non-LeftEyeFatigue,6,6,57,28
131.jpeg,64,64,Non-MouthFatigue,1,3,64,40
131.jpeg,64,32,Non-RightEyeFatigue,9,4,63,30
131.jpeg,64,32,LeftEyeFatigue,9,8,58,32
132.jpeg,64,64,MouthFatigue,1,2,64,54
132.jpeg,64,32,RightEyeFatigue,6,7,57,32
132.jpeg,64,32,Non-LeftEyeFatigue,4,4,59,28
132.jpeg,64,64,Non-MouthFatigue,1,4,64,41
132.jpeg,64,32,Non-RightEyeFatigue,9,3,58,27
132.jpeg,64,32,LeftEyeFatigue,7,2,60,32
133.jpeg,64,64,MouthFatigue,1,1,63,54
133.jpeg,64,32,RightEyeFatigue,8,5,56,32
133.jpeg,64,32,Non-LeftEyeFatigue,5,4,56,28
133.jpeg,64,64,Non-MouthFatigue,1,5,64,45
133.jpeg,64,32,Non-RightEyeFatigue,3,4,58,28
133.jpeg,64,32,LeftEyeFatigue,10,9,59,32
134.jpeg,64,64,MouthFatigue,1,2,64,51
134.jpeg,64,32,RightEyeFatigue,5,6,57,32
134.jpeg,64,32,Non-LeftEyeFatigue,3,6,61,30
134.jpeg,64,64,Non-MouthFatigue,1,5,64,47
134.jpeg,64,32,Non-RightEyeFatigue,8,3,56,27
134.jpeg,64,32,LeftEyeFatigue,7,3,60,32
135.jpeg,64,64,MouthFatigue,1,3,64,53
135.jpeg,64,32,RightEyeFatigue,3,4,61,32
135.jpeg,64,32,Non-LeftEyeFatigue,2,6,58,29
135.jpeg,64,64,Non-MouthFatigue,1,4,64,50
135.jpeg,64,32,Non-RightEyeFatigue,5,4,58,28
135.jpeg,64,32,LeftEyeFatigue,8,6,58,32
136.jpeg,64,64,MouthFatigue,1,4,64,52
136.jpeg,64,32,RightEyeFatigue,2,7,56,32
136.jpeg,64,32,Non-LeftEyeFatigue,4,7,59,28
136.jpeg,64,64,Non-MouthFatigue,1,6,64,46
136.jpeg,64,32,Non-RightEyeFatigue,6,3,56,26
136.jpeg,64,32,LeftEyeFatigue,5,3,57,32
137.jpeg,64,64,MouthFatigue,1,3,64,46
137.jpeg,64,32,RightEyeFatigue,4,4,64,29
137.jpeg,64,32,Non-LeftEyeFatigue,3,6,58,27
137.jpeg,64,64,Non-MouthFatigue,1,4,64,44
137.jpeg,64,32,Non-RightEyeFatigue,5,4,58,27
137.jpeg,64,32,LeftEyeFatigue,8,6,58,32
138.jpeg,64,64,MouthFatigue,1,5,64,57
138.jpeg,64,32,RightEyeFatigue,4,5,56,32
138.jpeg,64,32,Non-LeftEyeFatigue,1,4,59,27
138.jpeg,64,64,Non-MouthFatigue,1,4,64,40
138.jpeg,64,32,Non-RightEyeFatigue,9,3,59,26
138.jpeg,64,32,LeftEyeFatigue,6,3,58,32
139.jpeg,64,64,MouthFatigue,1,3,64,51
139.jpeg,64,32,RightEyeFatigue,6,4,61,30
139.jpeg,64,32,Non-LeftEyeFatigue,2,7,62,30
139.jpeg,64,64,Non-MouthFatigue,1,4,64,40
139.jpeg,64,32,Non-RightEyeFatigue,8,6,58,26
139.jpeg,64,32,LeftEyeFatigue,9,5,56,32
14.jpeg,64,64,MouthFatigue,1,2,64,52
14.jpeg,64,32,RightEyeFatigue,9,6,60,32
14.jpeg,64,32,Non-LeftEyeFatigue,6,3,56,30
14.jpeg,64,64,Non-MouthFatigue,1,3,64,43
14.jpeg,64,32,Non-RightEyeFatigue,8,8,54,29
14.jpeg,64,32,LeftEyeFatigue,7,4,60,32
140.jpeg,64,64,MouthFatigue,1,1,64,44
140.jpeg,64,32,RightEyeFatigue,3,6,58,32
140.jpeg,64,32,Non-LeftEyeFatigue,2,5,59,30
140.jpeg,64,64,Non-MouthFatigue,1,3,64,39
140.jpeg,64,32,Non-RightEyeFatigue,7,3,57,27
140.jpeg,64,32,LeftEyeFatigue,10,2,61,31
141.jpeg,64,64,MouthFatigue,1,4,64,50
141.jpeg,64,32,RightEyeFatigue,5,6,57,32
141.jpeg,64,32,Non-LeftEyeFatigue,5,8,61,29
141.jpeg,64,64,Non-MouthFatigue,1,5,64,38
141.jpeg,64,32,Non-RightEyeFatigue,6,3,63,28
141.jpeg,64,32,LeftEyeFatigue,13,10,58,32
142.jpeg,64,64,MouthFatigue,1,4,63,48
142.jpeg,64,32,RightEyeFatigue,8,8,56,32
142.jpeg,64,32,Non-LeftEyeFatigue,2,3,56,29
142.jpeg,64,64,Non-MouthFatigue,1,4,64,40
142.jpeg,64,32,Non-RightEyeFatigue,5,4,62,28
142.jpeg,64,32,LeftEyeFatigue,8,7,59,32
143.jpeg,64,64,MouthFatigue,1,4,64,49
143.jpeg,64,32,RightEyeFatigue,4,2,60,31
143.jpeg,64,32,Non-LeftEyeFatigue,6,5,61,31
143.jpeg,64,64,Non-MouthFatigue,1,4,64,38
143.jpeg,64,32,Non-RightEyeFatigue,6,4,60,27
143.jpeg,64,32,LeftEyeFatigue,11,4,58,32
144.jpeg,64,64,MouthFatigue,1,5,64,47
144.jpeg,64,32,RightEyeFatigue,4,6,60,32
144.jpeg,64,32,Non-LeftEyeFatigue,3,4,59,28
144.jpeg,64,64,Non-MouthFatigue,1,4,64,47
144.jpeg,64,32,Non-RightEyeFatigue,6,5,60,28
144.jpeg,64,32,LeftEyeFatigue,10,6,54,32
145.jpeg,64,64,MouthFatigue,1,5,64,52
145.jpeg,64,32,RightEyeFatigue,8,7,57,32
145.jpeg,64,32,Non-LeftEyeFatigue,4,5,59,28
145.jpeg,64,64,Non-MouthFatigue,1,4,64,39
145.jpeg,64,32,Non-RightEyeFatigue,6,4,64,27
145.jpeg,64,32,LeftEyeFatigue,9,7,60,32
146.jpeg,64,64,MouthFatigue,1,5,63,48
146.jpeg,64,32,RightEyeFatigue,4,5,56,32
146.jpeg,64,32,Non-LeftEyeFatigue,4,6,59,28
146.jpeg,64,64,Non-MouthFatigue,1,3,64,43
146.jpeg,64,32,Non-RightEyeFatigue,7,5,59,27
146.jpeg,64,32,LeftEyeFatigue,8,5,60,32
147.jpeg,64,64,MouthFatigue,1,7,63,49
147.jpeg,64,32,RightEyeFatigue,5,4,58,32
147.jpeg,64,32,Non-LeftEyeFatigue,3,6,62,28
147.jpeg,64,64,Non-MouthFatigue,1,3,64,41
147.jpeg,64,32,Non-RightEyeFatigue,5,5,60,26
147.jpeg,64,32,LeftEyeFatigue,9,10,56,32
148.jpeg,64,64,MouthFatigue,1,4,64,52
148.jpeg,64,32,RightEyeFatigue,4,8,54,32
148.jpeg,64,32,Non-LeftEyeFatigue,4,6,59,31
148.jpeg,64,64,Non-MouthFatigue,1,3,64,39
148.jpeg,64,32,Non-RightEyeFatigue,7,4,64,26
148.jpeg,64,32,LeftEyeFatigue,9,3,59,32
149.jpeg,64,64,MouthFatigue,1,6,64,49
149.jpeg,64,32,RightEyeFatigue,4,5,56,32
149.jpeg,64,32,Non-LeftEyeFatigue,4,4,58,28
149.jpeg,64,64,Non-MouthFatigue,1,2,64,41
149.jpeg,64,32,Non-RightEyeFatigue,6,5,64,30
149.jpeg,64,32,LeftEyeFatigue,7,8,60,32
15.jpeg,64,64,MouthFatigue,1,5,64,50
15.jpeg,64,32,RightEyeFatigue,6,9,58,32
15.jpeg,64,32,Non-LeftEyeFatigue,3,3,58,30
15.jpeg,64,64,Non-MouthFatigue,1,2,64,44
15.jpeg,64,32,Non-RightEyeFatigue,6,6,57,31
15.jpeg,64,32,LeftEyeFatigue,3,4,53,32
150.jpeg,64,64,MouthFatigue,1,4,64,49
150.jpeg,64,32,RightEyeFatigue,4,7,61,32
150.jpeg,64,32,Non-LeftEyeFatigue,4,5,59,29
150.jpeg,64,64,Non-MouthFatigue,1,4,64,40
150.jpeg,64,32,Non-RightEyeFatigue,10,4,59,26
150.jpeg,64,32,LeftEyeFatigue,9,4,54,32
151.jpeg,64,64,MouthFatigue,1,4,64,48
151.jpeg,64,32,RightEyeFatigue,7,6,58,32
151.jpeg,64,32,Non-LeftEyeFatigue,5,7,58,30
151.jpeg,64,64,Non-MouthFatigue,1,3,64,46
151.jpeg,64,32,Non-RightEyeFatigue,4,3,63,27
151.jpeg,64,32,LeftEyeFatigue,7,7,56,32
152.jpeg,64,64,MouthFatigue,1,2,64,60
152.jpeg,64,32,RightEyeFatigue,3,12,47,32
152.jpeg,64,32,Non-LeftEyeFatigue,3,5,59,32
152.jpeg,64,64,Non-MouthFatigue,1,3,64,41
152.jpeg,64,32,Non-RightEyeFatigue,6,5,59,26
152.jpeg,64,32,LeftEyeFatigue,12,9,63,32
153.jpeg,64,64,MouthFatigue,1,2,64,59
153.jpeg,64,32,RightEyeFatigue,6,10,53,32
153.jpeg,64,32,Non-LeftEyeFatigue,3,7,60,30
153.jpeg,64,64,Non-MouthFatigue,1,3,64,42
153.jpeg,64,32,Non-RightEyeFatigue,5,4,59,25
153.jpeg,64,32,LeftEyeFatigue,14,9,62,32
154.jpeg,64,64,MouthFatigue,1,1,64,55
154.jpeg,64,32,RightEyeFatigue,4,7,55,32
154.jpeg,64,32,Non-LeftEyeFatigue,3,8,60,30
154.jpeg,64,64,Non-MouthFatigue,1,3,64,47
154.jpeg,64,32,Non-RightEyeFatigue,6,5,61,26
154.jpeg,64,32,LeftEyeFatigue,8,5,58,27
155.jpeg,64,64,MouthFatigue,1,1,64,52
155.jpeg,64,32,RightEyeFatigue,4,5,58,32
155.jpeg,64,32,Non-LeftEyeFatigue,4,7,58,28
155.jpeg,64,64,Non-MouthFatigue,1,3,64,43
155.jpeg,64,32,Non-RightEyeFatigue,4,4,61,26
155.jpeg,64,32,LeftEyeFatigue,12,17,59,32
156.jpeg,64,64,MouthFatigue,1,3,64,48
156.jpeg,64,32,RightEyeFatigue,6,4,53,32
156.jpeg,64,32,Non-LeftEyeFatigue,2,6,58,29
156.jpeg,64,64,Non-MouthFatigue,1,5,64,39
156.jpeg,64,32,Non-RightEyeFatigue,5,4,58,26
156.jpeg,64,32,LeftEyeFatigue,7,3,57,28
157.jpeg,64,64,MouthFatigue,1,4,64,47
157.jpeg,64,32,RightEyeFatigue,8,6,61,31
157.jpeg,64,32,Non-LeftEyeFatigue,2,5,57,28
157.jpeg,64,64,Non-MouthFatigue,1,3,64,44
157.jpeg,64,32,Non-RightEyeFatigue,3,5,62,27
157.jpeg,64,32,LeftEyeFatigue,8,9,57,32
158.jpeg,64,64,MouthFatigue,1,5,63,49
158.jpeg,64,32,RightEyeFatigue,2,5,60,32
158.jpeg,64,32,Non-LeftEyeFatigue,2,5,60,31
158.jpeg,64,64,Non-MouthFatigue,1,4,64,46
158.jpeg,64,32,Non-RightEyeFatigue,7,4,64,26
158.jpeg,64,32,LeftEyeFatigue,8,5,58,27
159.jpeg,64,64,MouthFatigue,1,4,64,49
159.jpeg,64,32,RightEyeFatigue,6,7,57,32
159.jpeg,64,32,Non-LeftEyeFatigue,1,6,57,29
159.jpeg,64,64,Non-MouthFatigue,1,4,64,45
159.jpeg,64,32,Non-RightEyeFatigue,5,5,62,27
159.jpeg,64,32,LeftEyeFatigue,12,10,56,32
16.jpeg,64,64,MouthFatigue,1,4,64,51
16.jpeg,64,32,RightEyeFatigue,12,9,61,32
16.jpeg,64,32,Non-LeftEyeFatigue,8,1,59,30
16.jpeg,64,64,Non-MouthFatigue,1,3,64,42
16.jpeg,64,32,Non-RightEyeFatigue,7,7,58,29
16.jpeg,64,32,LeftEyeFatigue,6,4,56,32
160.jpeg,64,64,MouthFatigue,1,5,64,56
160.jpeg,64,32,RightEyeFatigue,4,3,53,30
160.jpeg,64,32,Non-LeftEyeFatigue,4,3,62,31
160.jpeg,64,64,Non-MouthFatigue,1,5,64,46
160.jpeg,64,32,Non-RightEyeFatigue,7,4,60,27
160.jpeg,64,32,LeftEyeFatigue,2,3,54,32
161.jpeg,64,64,MouthFatigue,1,7,64,49
161.jpeg,64,32,RightEyeFatigue,10,4,64,28
161.jpeg,64,32,Non-LeftEyeFatigue,2,3,55,28
161.jpeg,64,64,Non-MouthFatigue,1,6,64,48
161.jpeg,64,32,Non-RightEyeFatigue,5,5,59,32
161.jpeg,64,32,LeftEyeFatigue,9,5,62,27
162.jpeg,64,64,MouthFatigue,1,5,64,48
162.jpeg,64,32,RightEyeFatigue,3,6,53,29
162.jpeg,64,32,Non-LeftEyeFatigue,4,4,59,32
162.jpeg,64,64,Non-MouthFatigue,1,5,64,48
162.jpeg,64,32,Non-RightEyeFatigue,7,4,60,32
162.jpeg,64,32,LeftEyeFatigue,2,5,58,26
163.jpeg,64,64,MouthFatigue,1,7,64,55
163.jpeg,64,32,RightEyeFatigue,5,5,62,26
163.jpeg,64,32,Non-LeftEyeFatigue,2,4,56,30
163.jpeg,64,64,Non-MouthFatigue,1,5,64,50
163.jpeg,64,32,Non-RightEyeFatigue,7,6,60,32
163.jpeg,64,32,LeftEyeFatigue,9,4,61,28
164.jpeg,64,64,MouthFatigue,1,8,64,50
164.jpeg,64,32,RightEyeFatigue,1,4,54,26
164.jpeg,64,32,Non-LeftEyeFatigue,4,4,61,30
164.jpeg,64,64,Non-MouthFatigue,1,5,64,49
164.jpeg,64,32,Non-RightEyeFatigue,8,4,61,29
164.jpeg,64,32,LeftEyeFatigue,2,4,57,26
165.jpeg,64,64,MouthFatigue,1,7,64,51
165.jpeg,64,32,RightEyeFatigue,5,4,62,27
165.jpeg,64,32,Non-LeftEyeFatigue,3,2,58,29
165.jpeg,64,64,Non-MouthFatigue,1,5,64,51
165.jpeg,64,32,Non-RightEyeFatigue,6,5,60,31
165.jpeg,64,32,LeftEyeFatigue,4,4,60,27
166.jpeg,64,64,MouthFatigue,1,7,64,51
166.jpeg,64,32,RightEyeFatigue,2,5,55,28
166.jpeg,64,32,Non-LeftEyeFatigue,2,4,60,32
166.jpeg,64,64,Non-MouthFatigue,1,5,64,49
166.jpeg,64,32,Non-RightEyeFatigue,7,3,56,29
166.jpeg,64,32,LeftEyeFatigue,2,5,58,27
167.jpeg,64,64,MouthFatigue,1,6,64,50
167.jpeg,64,32,RightEyeFatigue,10,4,62,26
167.jpeg,64,32,Non-LeftEyeFatigue,3,3,60,31
167.jpeg,64,64,Non-MouthFatigue,1,5,64,51
167.jpeg,64,32,Non-RightEyeFatigue,4,3,59,31
167.jpeg,64,32,LeftEyeFatigue,7,5,63,29
